LSOA11CD,population
E01012350,1471
E01012351,1311
E01012352,1493
E01012353,1640
E01012354,1617
E01012355,1480
E01012356,1747
E01012357,1316
E01012358,1603
E01012359,1804
E01012360,1767
E01012361,2018
E01012362,1329
E01012363,1276
E01012364,1449
E01012365,1188
E01012366,2197
E01032545,1698
E01032546,1757
E01033481,2827
E01033482,1652
E01035183,1777
E01035184,1342
E01035185,1474
E01035186,1176
E01035187,2226
E01012367,1872
E01012368,2072
E01012369,1762
E01012370,1952
E01012371,1190
E01012372,1107
E01012373,1198
E01012374,2726
E01012375,1497
E01012376,2823
E01012377,1734
E01012378,1552
E01012379,1687
E01012380,1441
E01012381,1698
E01012382,1782
E01012383,1595
E01012384,1574
E01012385,2363
E01012386,3300
E01012387,1081
E01012388,1769
E01012389,1679
E01012390,1642
E01012391,2226
E01012392,2958
E01012393,3031
E01012394,1958
E01012395,1606
E01012396,1519
E01012397,1647
E01012398,1178
E01012399,1311
E01012400,1150
E01012401,1808
E01012402,1680
E01012403,1850
E01012404,1451
E01012405,2114
E01012406,1347
E01012407,1771
E01012408,1823
E01012409,1353
E01012410,1082
E01012411,1314
E01012412,1855
E01012413,1420
E01012414,1177
E01012415,1296
E01012416,1871
E01012417,1219
E01012418,1429
E01012419,1105
E01012420,1453
E01012421,1222
E01012422,1474
E01012423,1287
E01012424,1883
E01012425,1610
E01012426,1349
E01012427,1875
E01012429,1402
E01012430,1588
E01012431,2250
E01012432,1300
E01012433,1582
E01012434,1467
E01012435,2009
E01012436,1232
E01012437,1293
E01012438,1094
E01012439,1426
E01012440,1173
E01012441,2408
E01012442,1496
E01012443,1523
E01012444,1559
E01012445,1238
E01035382,1442
E01035383,1263
E01012446,1203
E01012447,1373
E01012448,2146
E01012449,1421
E01012450,1369
E01012451,1572
E01012452,1788
E01012453,1849
E01012454,2812
E01012455,2268
E01012457,1760
E01012458,2720
E01012459,1449
E01012460,1552
E01012461,1152
E01012462,1246
E01012463,1008
E01012464,1309
E01012465,1190
E01012466,1536
E01012467,1142
E01012468,2355
E01012469,1546
E01012470,1147
E01012471,1977
E01012472,1798
E01012473,1545
E01012474,1399
E01012475,1522
E01012476,1445
E01012477,1488
E01012478,2220
E01012479,1703
E01012480,2366
E01012481,1501
E01012482,1679
E01012483,1729
E01012485,1547
E01012486,1409
E01012487,1559
E01012488,1802
E01012489,2162
E01012490,1409
E01012491,1405
E01012492,1344
E01012493,1679
E01012494,1982
E01012495,1616
E01012496,1507
E01012497,1193
E01012498,1536
E01012499,1926
E01012500,1375
E01012501,1351
E01012502,1541
E01012503,1939
E01012505,1343
E01012506,1642
E01012507,2092
E01012508,1684
E01012509,2333
E01012510,2176
E01012511,1573
E01012512,1516
E01012513,2053
E01012514,1908
E01012515,1536
E01012516,1366
E01012517,2305
E01012518,2124
E01012519,1681
E01012520,1672
E01012521,1509
E01012522,1407
E01012523,1428
E01012524,1406
E01012525,1490
E01012526,1706
E01012527,1462
E01012528,1154
E01012529,1382
E01012530,1319
E01012531,1496
E01012532,1287
E01012533,1459
E01012534,1434
E01012535,1786
E01012536,1530
E01012537,1605
E01012538,1308
E01012539,1552
E01012540,1310
E01012541,1123
E01012542,1348
E01012543,1303
E01012544,1410
E01012545,1575
E01012546,1598
E01012547,1599
E01012548,1833
E01012549,1927
E01012550,1733
E01012551,1653
E01012552,1371
E01012553,1199
E01012554,2039
E01012555,1326
E01012556,1433
E01012557,1448
E01012558,1685
E01012559,1588
E01012560,1480
E01012561,1467
E01012562,2396
E01012563,1771
E01012564,1241
E01012566,2149
E01012569,1782
E01012570,1151
E01033299,2564
E01033300,2137
E01033302,2261
E01033303,1172
E01035384,2054
E01035385,2032
E01035386,1743
E01035387,1562
E01035388,1520
E01035389,1469
E01035390,1434
E01035391,1753
E01035392,1461
E01012571,1783
E01012572,1517
E01012573,1855
E01012574,1437
E01012575,1315
E01012576,1903
E01012577,2101
E01012578,1980
E01012579,1825
E01012580,2192
E01012581,1382
E01012582,1720
E01012583,2698
E01012584,1722
E01012585,1815
E01012586,1655
E01012587,2547
E01012588,2294
E01012589,1461
E01012590,1375
E01012591,1558
E01012592,2058
E01012593,1617
E01012594,1349
E01012595,2420
E01012596,2233
E01012597,1686
E01012598,2990
E01012599,1296
E01012600,1332
E01012601,1518
E01012602,1539
E01012603,2046
E01012604,1685
E01012605,2428
E01012606,1845
E01012607,1619
E01012608,2377
E01012609,1814
E01012610,1383
E01012611,1100
E01012612,1376
E01012613,2153
E01012614,1665
E01012615,1384
E01012616,2310
E01012617,1526
E01012618,1574
E01012619,1349
E01012620,1612
E01012621,1519
E01012622,1925
E01012623,1482
E01012624,1648
E01012625,2000
E01012628,1112
E01012629,1411
E01012630,2397
E01012631,1489
E01012632,2512
E01012633,2033
E01012634,1753
E01012635,1950
E01012636,1828
E01012637,1775
E01012638,1658
E01012639,2032
E01012640,2170
E01012641,1982
E01012642,1977
E01012643,1776
E01012644,2529
E01012645,2255
E01012646,1718
E01012647,1717
E01012648,1227
E01012649,1623
E01012650,1593
E01012651,1528
E01012652,1462
E01012653,1583
E01012654,1699
E01012655,2310
E01012656,2006
E01012657,2307
E01012658,1998
E01012659,1295
E01012660,1131
E01012661,1478
E01032485,1979
E01032486,1254
E01012662,1387
E01012663,1539
E01012664,1583
E01012665,1636
E01012666,1370
E01012667,1513
E01012668,1544
E01012669,1754
E01012670,1558
E01012671,1461
E01012672,1674
E01012673,1461
E01012674,1798
E01012675,1657
E01012676,1424
E01012677,1403
E01012678,1066
E01012679,1533
E01012680,1823
E01012681,2225
E01012682,1529
E01012683,1440
E01012684,1430
E01012685,1384
E01012686,1433
E01012687,1413
E01012688,1112
E01012689,1444
E01012690,1640
E01012691,1830
E01012692,1640
E01012693,1564
E01012694,1359
E01012695,1410
E01012696,1492
E01012697,1275
E01012698,1647
E01012699,1642
E01012700,1804
E01012701,1434
E01012702,1447
E01012703,1425
E01012704,2035
E01012705,1549
